Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.22844850000001315,1000,,,,-0.06171875,0.99345703125,0.0525390625,-0.0006247520780607674,-0.1731346474880718,14.79566535949707,0.00015493241604417525,0,0,0.05873592257846466,0,0,0,0,0.06259765625,,
0.22969899999998603,1000,,,,-0.0625,0.99609375,0.04990234375,-0.0006429743699391987,-0.171723848231105,14.795501327514648,-0.0006084914761595431,0,0,0.05341451197537376,0,0,0,0,0.0626953125,,
0.7123982499999898,1000,,,,-0.0625,0.9955078125,0.049609375,-0.0006772771575045022,-0.17253982986344035,14.795239019393922,-0.0032795061217620975,0,0,0.05148276803837658,0,0,0,0,0.06240234375,,
1.2007982499999836,1000,,,,-0.0625,0.99443359375,0.051171875,-0.0006504563932864795,-0.17099295255625668,14.79552869796753,-0.000849531856365502,0,0,0.05384770526184646,0,0,0,0,0.0625,,
1.6893487499999869,1000,,,,-0.0625,0.99560546875,0.050390625,-0.0006491594577714175,-0.17203153116602804,14.795701932907104,-0.0002994404034689072,0,0,0.05779589325160796,0,0,0,0,0.0625,,
2.1766989999999833,1000,,,,-0.0625,0.99658203125,0.05,-0.00066045092165018,-0.1727591823811056,14.794770765304566,-0.0013205682369880377,0,0,0.059033035299591044,0,0,0,0,0.0625,,
2.6762984999999873,1000,,,,-0.0625,0.99609375,0.0494140625,-0.0006656529442098121,-0.17197926832655475,14.795107412338258,0.0010220191464759406,0,0,0.07717016939538372,0,0,0,0,0.0625,,
3.1766992499999875,1000,,,,-0.0625,0.99892578125,0.0474609375,-0.0006672951615044299,-0.17017551091702454,14.795047378540039,-0.00044960625004023344,0,0,0.04522019245064999,0,0,0,0,0.06337890625,,
3.6766484999999833,1000,,,,-0.0625,0.996484375,0.05,-0.0006603387269062158,-0.17142570941534085,14.79579792022705,-0.0006840588268823923,0,0,0.0658432033624242,0,0,0,0,0.062890625,,
4.175698499999988,1000,,,,-0.0625,0.9923828125,0.053125,-0.0006812531151878197,-0.17128998284826585,14.795402908325196,0.00011714875232428263,0,0,0.06109382982115117,0,0,0,0,0.0623046875,,
4.66564874999999,1000,,,,-0.0625,0.995703125,0.05068359375,-0.0006651516856104257,-0.17163949227706632,14.795242023468017,0.0006964983558282255,0,0,0.056494631353130945,0,0,0,0,0.0625,,
5.154148749999986,1000,,,,-0.0625,0.996875,0.04931640625,-0.0006906741731871394,-0.1720670309633526,14.795007038116456,-0.00095823256764561,0,0,0.0734019732983634,0,0,0,0,0.0625,,
5.650948499999982,1000,,,,-0.0625,0.99306640625,0.0525390625,-0.00066176798574327,-0.17295387700451337,14.795097255706787,0.001340758325532079,0,0,0.03864026218678317,0,0,0,0,0.0625,,
6.15069874999999,1000,,,,-0.0625,0.9955078125,0.05009765625,-0.0006762684414423255,-0.17069227224700548,14.794791078567505,-0.003039240764919669,0,0,0.06594411923011498,0,0,0,0,0.0625,,
6.6509487499999835,1000,,,,-0.0625,0.99658203125,0.0484375,-0.0006459363126801169,-0.17170581444221275,14.795420026779174,0.0005928354011848566,0,0,0.05054138323927563,0,0,0,0,0.06240234375,,
7.151298999999983,1000,,,,-0.0625,0.9958984375,0.0494140625,-0.0006925757882091683,-0.17128514319577456,14.795057153701782,-0.0033773561217822143,0,0,0.06017822053208753,0,0,0,0,0.0625,,
7.651198499999981,1000,,,,-0.0625,0.996875,0.0494140625,-0.0006836681088847825,-0.17212129455301786,14.794813251495361,-0.00076543900417164,0,0,0.057272937656676313,0,0,0,0,0.0625,,
8.151148499999982,1000,,,,-0.0625,0.9966796875,0.049609375,-0.0007035026738435024,-0.17293657321906952,14.79509744644165,-0.001677091103047133,0,0,0.07109579664633262,0,0,0,0,0.06298828125,,
8.651097999999985,1004.9333416666666,,,,-0.0625,0.994140625,0.0517578125,-0.0006929546163437849,-0.17091960072827378,14.795192766189576,-0.0004031032999046153,0,0,0.07644023262766535,0,0,0,0,0.0625,,
9.151148749999987,1021.1500083333333,,,,-0.0625,0.9974609375,0.04912109375,-0.0006752947141777062,-0.1712438574451922,14.795108890533447,-0.0009814840601757178,0,0,0.06960142941321062,0,0,0,0,0.0625,,
9.65119899999998,1037.8216833333333,,,,-0.0625,0.99375,0.051953125,-0.0007771177372558719,-0.17221032793655927,14.795094537734986,0.0009609839902259406,0,0,0.06138146871707596,0,0,0,0,0.0625,,
10.150798249999985,1054.4783333333332,,,,-0.0619140625,0.994921875,0.0505859375,-0.0007295306290902074,-0.17275345050217736,14.795221662521362,-0.0006956845265813172,0,0,0.06785666906760728,0,0,0,0,0.0625,,
10.651248999999984,1071.150008333333,,,,-0.0625,0.99404296875,0.05185546875,-0.0006888421741080299,-0.1721126156231312,14.795502758026123,0.0013049122318625449,0,0,0.08953820026655167,0,0,0,0,0.0619140625,,
