Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.23244999999999422,1000,,,,-0.060546875,0.9892578125,0.051171875,-0.00008687263703405272,-0.003285015517851066,16.591613864898683,-0.008297952273860574,0,0,0.13884069826083992,0,0,0,0,0.06103515625,,
0.2304500000000233,1000,,,,-0.0599609375,0.9912109375,0.04462890625,-0.00010721797741508679,-0.002894058115479655,16.591741371154786,-0.009196041021496059,0,0,0.15257762486102966,0,0,0,0,0.06337890625,,
0.71599950000002,1000,,,,-0.05947265625,0.99326171875,0.03798828125,-0.00008728621208087796,-0.002623686467919896,16.592396640777586,-0.008054780492093416,0,0,0.13524853994246588,0,0,0,0,0.066015625,,
1.2029495000000217,1000,,,,-0.05791015625,0.99619140625,0.0345703125,-0.00007839013769238564,-0.002263362173217006,16.592362499237062,-0.008016027996782214,0.41887902048,0,0.13300380274726506,0,0,0,0,0.068359375,,
1.6914500000000192,1000,,,,-0.0625,0.9875,0.053125,-0.00006810253724213384,-0.0026107086288370274,16.59177188873291,-0.0115066576609388,1.25663706144,0,0.1909151067637591,0,0,0,0,0.06689453125,,
2.1833497500000183,1000,,,,-0.05185546875,1.002734375,0.009375,-0.00009331988643897067,-0.001748574556263226,16.591449356079103,-0.004808291476219894,0,0,0.10094512016440997,0,0,0,0,0.07138671875,,
2.670599750000013,1000,,,,-0.0458984375,0.9927734375,0.01259765625,-0.00009088819294658204,-0.0028102429047361303,16.591717624664305,-0.004164031494874509,0,0,0.09356425122458525,0,0,0,0,0.07744140625,,
3.154599500000022,1000,,,,-0.060546875,0.98720703125,0.04853515625,-0.00009578919937590287,-0.0032298597017488754,16.592096042633056,-0.009487653463147581,0,0,0.16089854481706453,0,0,0,0,0.0740234375,,
3.643100000000018,1200,,,,-0.05361328125,0.984765625,0.04375,0.005193753871536958,-0.0036977919121805483,16.586190223693848,0.15426918616518379,0,0.62831853072,2.8463255623137687,0.01901521591656864,0.08842961538388297,2.2470897186157908,0.0006125047842268196,0.06865234375,,
4.13019950000002,1250,,,,-0.04873046875,0.99599609375,0.0111328125,0.035866423583691055,0.32503214280361975,16.56900405883789,0.5891587217710914,148.59733251528,557.632696014,9.757808315883299,19.646344410945215,215.2867366868339,0.01965654842858425,0.04022448489029799,0.10322265625,,
4.618949750000015,1250,,,,-0.046484375,0.98857421875,0.0185546875,0.015772731469766012,0.7273456951158355,16.572897052764894,0.4350362350605427,251.74629130847998,889.28016047904,7.209806670585353,14.01569666562493,194.45959940780997,0.05208021446280385,0.10104658184193159,0.11162109375,,
5.109299750000024,1250,,,,-0.0576171875,1.00537109375,0.026953125,0.014705335070850386,0.7594914510409585,16.572661113739013,0.42163465669378625,256.87755930936,904.7786842367999,6.987619007371333,13.302392023366878,190.6639471760486,0.057136738171467694,0.10886030710297388,0.11875,,
5.604949750000015,1250,,,,-0.049609375,0.99794921875,0.01396484375,0.014526048234833893,0.7618813471452337,16.572378635406494,0.4225608413480221,257.6105975952,907.81555713528,7.002838465860798,13.188289640834947,188.82912160047863,0.05782344876092546,0.10907275179227358,0.1482421875,,
6.100850000000017,1250,,,,-0.0484375,0.99619140625,0.02138671875,0.014471001501059963,0.7704348245874343,16.57174997329712,0.4235659842751919,258.1341963708,906.7683595840799,7.019233898182113,13.124092706037748,187.4371772507681,0.058771687597950865,0.10998555201866535,0.17666015625,,
6.581450000000025,1250,,,,-0.04853515625,0.99267578125,0.0193359375,0.014473606728051364,0.7640421573525312,16.57098560333252,0.41885319700464585,257.82003710544,903.41732742024,6.940803307152431,13.074632384102006,188.63419101754138,0.058474842616813426,0.11023943939370542,0.1900390625,,
7.063250000000022,1250,,,,-0.0458984375,0.99248046875,0.0203125,0.01449311490029527,0.7519332927449198,16.570918083190918,0.4224542697332798,257.71531735032,905.51172252264,7.00045862708884,13.12321455679824,187.6436890359891,0.05734855936702132,0.10753436482956806,0.18955078125,,
7.5531997500000205,1250,,,,-0.050390625,0.995703125,0.01611328125,0.01480715835972771,0.7641470615517845,16.570071506500245,0.4235180263780056,259.39083343223996,909.5957929723199,7.017674193055349,13.462787874573866,194.00825404267886,0.057275914108106014,0.10980547481152081,0.20185546875,,
8.044550000000015,1250,,,,-0.050390625,0.9958984375,0.01064453125,0.014260181227596378,0.7544823566381134,16.570364665985107,0.42098749181255685,258.65779514639996,911.3760288093599,6.975922253899095,12.996527767867159,186.85388487620736,0.05808053829361544,0.10845118908132867,0.2125,,
8.53840000000002,1250,,,,-0.046875,0.9931640625,0.0197265625,0.014462958274309773,0.7459196865598958,16.57012596130371,0.4199707229994235,258.44835563616,909.7005127274399,6.958967203791074,13.157704288227254,189.39634915843618,0.0567287393302703,0.10738586756704195,0.21689453125,,
9.03210000000002,1250,,,,-0.04677734375,0.994921875,0.0193359375,0.01456912423969337,0.7550341040592887,16.568943309783936,0.42224500825628625,258.34363588104,906.3494805636,6.996154539836901,13.205844877370282,189.06976688717765,0.05723163761964907,0.10811460187444757,0.225,,
9.526199500000008,1250,,,,-0.0478515625,0.99248046875,0.01025390625,0.014826812518520896,0.7720925542701172,16.56869421005249,0.4272823472879826,257.19171857471997,913.1562646463999,7.07950863709045,13.54239162350493,191.47176075789088,0.05735895277058799,0.1092901975299106,0.22734375,,
10.018950000000022,1250,,,,-0.04619140625,0.99326171875,0.0201171875,0.014710158463961034,0.7732634527642044,16.568614959716797,0.4240935017727314,257.71531735032,903.41732742024,7.026635706759931,13.288883596855067,189.31627790714785,0.0582581289326031,0.11019784997536194,0.21826171875,,
10.51839950000002,1250,,,,-0.06162109375,1.0134765625,0.013671875,0.014584360713537164,0.7669378376978963,16.569165802001955,0.4196054806374011,257.0869988196,905.72116203288,6.95251800702125,13.208582392688987,190.1338706506439,0.05809953896043621,0.11043468508213464,0.20068359375,,
11.016050000000021,1250,,,,-0.04697265625,0.99541015625,0.0166015625,0.014610132875051692,0.7617813096356365,16.567799377441407,0.422372891511768,257.50587784007996,902.7890088895199,6.997793070754066,13.189014202697077,188.8680196092078,0.057773576872865266,0.10906777134701524,0.18818359375,,
11.507149750000012,1250,,,,-0.04404296875,0.9912109375,0.01884765625,0.01446415727314869,0.7602030692173362,16.567675876617432,0.418670093026012,257.50587784007996,902.9984483997599,6.936404656861676,13.061851779189121,188.56258832896938,0.058238549521411186,0.10977127836012021,0.18994140625,,
11.996500000000019,1250,,,,-0.0501953125,1.00283203125,0.01396484375,0.01467485453076384,0.7648159610078473,16.567204666137695,0.4356771027110516,257.71531735032,905.9306015431199,7.217935704180543,13.294020518869734,185.1044064927031,0.05757882000976803,0.10648569949246535,0.19140625,,
12.479799750000014,1250,,,,-0.04873046875,0.996875,0.01884765625,0.014750218635551978,0.7699270666333168,16.56698694229126,0.4176499341987071,258.86723465664,908.7580349313599,6.919201229385381,13.398741098226125,193.90723010549902,0.05765051572238005,0.11142976249463524,0.21025390625,,
12.96529975000002,1250,,,,-0.04697265625,0.997265625,0.0134765625,0.014564519373072071,0.7666961254449779,16.56719398498535,0.42230168482288705,257.92475686055997,905.9306015431199,6.996361372149876,13.196339587378827,188.96776749496854,0.05815155542225646,0.10981800018750763,0.20859375,,
13.450900000000019,1250.3807808333331,,,,-0.05625,1.0076171875,0.0158203125,0.014589357429336846,0.7556368435731935,16.566519260406494,0.42192675521597256,257.40115808496,906.3494805636,6.989854149327843,13.223389270987738,189.33137994125244,0.05718760595321408,0.10823245235138661,0.19404296875,,
13.929999750000016,1254.5748922916666,,,,-0.05234375,0.99609375,0.0119140625,0.015763183136949296,0.7833549933978782,16.565029907226563,0.4643243913911282,260.96162975903997,914.6223412180799,7.691543035325307,14.417445699488354,187.71200664202263,0.0543832719126805,0.1019610679314789,0.215625,,
14.410199750000015,1259.7732672916668,,,,-0.045703125,0.9884765625,0.0177734375,0.016936672709491275,0.8253343283677385,16.563483142852782,0.4837771674059332,267.97785335208,938.07956636496,8.013031063509313,15.892876223149713,198.5265443731324,0.05200383773914307,0.10312003172824899,0.23330078125,,
14.900849750000015,1265.08755625,,,,-0.0431640625,0.9982421875,0.016015625,0.017518626154744532,0.8733885627751243,16.562615394592285,0.5138239001296464,274.99407694511996,970.8568497175199,8.510261932991648,17.01002907881192,200.12650319104944,0.051435548988692154,0.10275332210325257,0.2650390625,,
15.386199750000022,1270.3482175000001,,,,-0.05791015625,0.91044921875,0.0841796875,0.019171196567665118,0.9249668212368043,16.559957885742186,0.5564002846740189,283.58109686496,995.67543168096,9.213952026293047,19.092529915356373,207.29843521218595,0.04858434366910335,0.10050195663946528,0.35693359375,,
15.871849750000015,1275.6072672916666,,,,-0.04970703125,1.00234375,0.01103515625,0.01975824854993034,0.9808580482203576,16.558646774291994,0.5766944711469117,292.37755629504,1025.10168286968,9.54927166348216,20.253348896047235,212.07966559980622,0.04848042307270172,0.10274987138557676,0.4685546875,,
16.35519975000003,1280.8484258333333,,,,-0.05361328125,1.00947265625,0.01181640625,0.02083036209664165,1.0256207781903515,16.557447242736817,0.6225798284076157,299.07962062272,1051.28162164968,10.308289601839178,21.903878474897688,213.374310316603,0.04697742604769766,0.09987775576685369,0.50068359375,,
16.832849750000015,1286.0245952083333,,,,-0.03876953125,0.99765625,0.01025390625,0.021999700322354314,1.1008619632464616,16.55475835800171,0.6601513301394883,307.45720103232,1084.8966630431999,10.928627958071853,23.869967310205215,218.8215170946758,0.04618155920066301,0.10088481806447452,0.4607421875,,
17.31305000000002,1291.2246006250002,,,,-0.04638671875,0.9744140625,0.03212890625,0.02306064877026425,1.1581904859084422,16.552782821655274,0.6946579908393327,316.56781972775997,1116.20786982408,11.498503048556591,25.74373799873332,224.17749823716616,0.045050635868429056,0.10084532636997905,0.33779296875,,
17.799700000000023,1296.4906839583332,,,,-0.0392578125,0.98974609375,0.023046875,0.024034959521939705,1.21498205047837,16.551122188568115,0.7297793631814423,323.47932356568,1135.89518378664,12.078634311618211,27.300752198252145,226.71152826926541,0.04452937383196207,0.10088321945845355,0.30087890625,,
18.292850000000023,1301.832606041667,,,,-0.05126953125,0.99658203125,0.01376953125,0.026260741615151295,1.2951103112127813,16.5477765083313,0.8024286364577714,334.5796176084,1175.0603722015198,13.278324466499829,30.864296729517907,232.9586262811976,0.04208498690145569,0.09781233793265864,0.36201171875,,
18.78474975000002,1307.1620535416669,,,,-0.0505859375,0.990625,0.02265625,0.02669846115824457,1.3739688796530876,16.546172046661376,0.8297069912217561,343.89967581407996,1208.9895728604,13.728444882692026,32.27882949442326,235.34600040533374,0.04262717577205635,0.10025641746850093,0.34443359375,,
19.27134975000002,1312.4357283333331,,,,-0.05439453125,1.001171875,0.0142578125,0.02791045179071356,1.43563992245802,16.54372901916504,0.8725711171887818,350.91589940712,1236.53086845696,14.43550215205092,34.5138062200465,240.3385968367911,0.041719942400849426,0.09986265199619218,0.290625,,
19.760050000000017,1317.7267229166669,,,,-0.04248046875,0.99580078125,0.01533203125,0.02926177468526677,1.5022055843102216,16.540807914733886,0.9167431240342558,358.03684275527996,1259.3597750731199,15.163623076654773,36.85764410021513,243.453231689814,0.04084520084734723,0.09921736552122495,0.24677734375,,
20.250299500000022,1323.0399393750001,,,,-0.02431640625,0.97548828125,0.0177734375,0.030699185286733495,1.5726918513493569,16.538049697875977,0.9732568358443678,366.51914292,1290.5662620988799,16.095745762622133,39.62587655778158,246.29941721464837,0.03973676786759875,0.09779705341142098,0.2259765625,,
20.73665000000002,1328.3092672916666,,,,-0.05810546875,0.97939453125,0.02216796875,0.0314314949744615,1.6371187112463719,16.536859893798827,1.0075271104834973,374.47784430912,1318.52643671592,16.661312026506756,41.45482975904649,249.00727580867846,0.03955363255430094,0.09837584675334818,0.23046875,,
21.223199750000013,1333.582386875,,,,-0.04921875,0.9994140625,0.01396484375,0.03320458711832564,1.7086844641255547,16.533400440216063,1.0792579477094113,382.43654569823997,1344.81109525104,17.843726609160143,44.64798803612562,250.5492872741153,0.03836649603761009,0.09600839076015476,0.231640625,,
21.706199750000028,1338.8170481249997,,,,-0.0689453125,1.00693359375,0.01669921875,0.03467835036355117,1.7947470040035964,16.530536079406737,1.128731307890266,391.54716439367996,1377.69309835872,18.65851204186411,47.77362141027974,256.51527521966113,0.03758902847026753,0.09635535903477453,0.24228515625,,
22.191200000000016,1344.066350625,,,,-0.04375,1.00498046875,0.00185546875,0.03559115914896666,1.8643065992578856,16.527668285369874,1.1768052076362072,398.24922872136,1388.68867264632,19.449810357256656,49.42640538842798,254.3021709704637,0.03773323493617064,0.09592564498464003,0.3255859375,,
22.67585000000002,1349.3183479166667,,,,-0.04990234375,0.97880859375,0.02646484375,0.036562624849370395,1.9335644597534982,16.525604438781738,1.216228113081306,403.58993623248,1418.3243633452798,20.09888711447746,51.85900960487474,258.32723252736287,0.03731820449498288,0.09628796339836519,0.43623046875,,
23.16090000000002,1354.5741341666667,,,,-0.0541015625,0.99833984375,0.0212890625,0.039517703356725234,2.0449024227320165,16.52046194076538,1.3290748392604288,413.95719198935996,1452.4630035143998,21.956879773455036,57.39623159485079,261.79618000693915,0.035713016734460715,0.09328916697348176,0.530078125,,
23.64599950000002,1359.8288506250003,,,,-0.02744140625,0.95771484375,0.02421875,0.04001950796300989,2.1065650029043805,16.51790819168091,1.360691062118858,421.91589337847995,1475.71078915104,22.475562781199173,59.05192776010192,263.52779022591756,0.03576119009552621,0.09402078645446989,0.58916015625,,
24.12924900000002,1365.0624231250004,,,,-0.07578125,1.01591796875,0.01884765625,0.04078794088899322,2.1797448745194954,16.515014839172363,1.41307665457949,428.93211697152,1497.80665748136,23.33681577567097,61.114550006888635,262.4352222926972,0.0357572828203738,0.09361931712033471,0.61201171875,,
24.615950000000016,1370.3393452083333,,,,-0.05791015625,0.9880859375,0.016015625,0.04380670796537572,2.2869926552137296,16.509365367889405,1.5335426186583931,438.98521346304,1534.03969275288,25.317671821232203,67.20076978159042,265.99031204139226,0.03408219125295977,0.09049937937777967,0.591015625,,
25.100799750000014,1375.5875535416667,,,,-0.05,0.98837890625,0.01328125,0.04421576531259326,2.375230253884895,16.50729446411133,1.579850861933082,446.21087656632,1567.9688934117598,26.079028614612895,69.34119184117426,265.9809582664513,0.0342928559285987,0.09115860559396285,0.49091796875,,
25.58799975000002,1380.8677175,,,,-0.04912109375,0.9927734375,0.0203125,0.04584396867874756,2.4633901477445517,16.50234727859497,1.6498799716494972,453.75069893496,1588.5986851704,27.226365787806593,72.83807514995092,268.7991705204977,0.03394496015669748,0.09093306608505551,0.37451171875,,
26.07700000000002,1386.1673950000002,,,,-0.03388671875,0.9861328125,0.01953125,0.0479688299772615,2.5653757661738252,16.498165130615234,1.772647837307304,462.44243860992,1630.69602672864,29.24523846229373,78.24907315051294,267.7898536543069,0.032884765642313754,0.08795893330151847,0.30791015625,,
26.564899750000013,1391.4513425,,,,-0.0548828125,0.98740234375,0.019921875,0.049466434870317794,2.6409010307200256,16.49411859512329,1.8319696520827708,470.71529926439996,1653.62965309992,30.216655497885665,81.80821829719936,271.08490512565754,0.03231429552620382,0.08752048414155907,0.312890625,,
27.04910000000001,1396.6957591666667,,,,-0.05712890625,0.99111328125,0.02470703125,0.050369140951122916,2.715035314251027,16.490258121490477,1.8873416220210495,476.9984845716,1671.64145098056,31.122676232863512,84.19714829840504,270.8051076849094,0.03226309423280363,0.08731848624719533,0.3392578125,,
